condition,task,category,repeat,success,verdict,score,input_tokens,output_tokens,cache_read,cache_write,total_cost_usd,duration_ms,tool_calls
axi,user_search,single_step,1,1,pass,10,17,400,31274,9108,0.049588,21099,1
mcp,error_bad_issue_id,error_recovery,1,1,pass,9,27,464,47259,7043,0.047630,28821,2
mcp,error_bad_project,error_recovery,1,1,pass,10,43,673,86517,8293,0.067278,33631,4
axi,issues_by_priority,single_step,1,1,pass,9,73,2738,192534,13709,0.150458,94445,8
axi,sprint_unresolved_count,single_step,1,1,pass,7,17,821,31279,10246,0.060172,39836,1
axi,multi_search_and_detail,multi_step,1,1,pass,8,25,514,52613,10628,0.063424,28155,2
axi,sprint_assignee_filter,multi_step,1,1,pass,9,17,174,31289,10253,0.050496,26348,1
mcp,sprint_overview,single_step,1,1,pass,8,101,4169,298708,27374,0.255103,131308,14
mcp,list_projects,single_step,1,1,pass,10,27,402,47198,7182,0.047203,18157,2
axi,project_issue_count,multi_step,1,1,partial,5,25,817,52799,11674,0.071947,36558,2
mcp,issue_detail,single_step,1,1,pass,10,27,489,47428,7701,0.050523,34721,3
mcp,current_user,single_step,1,1,pass,10,27,262,47078,6874,0.043912,23890,2
axi,agile_board_sprint,multi_step,1,1,pass,10,81,2254,216220,16203,0.159680,87174,9
mcp,search_in_progress,single_step,1,1,pass,10,27,657,47896,9099,0.058426,21448,2
axi,error_bad_issue_id,error_recovery,1,1,pass,9,17,362,31284,8919,0.048312,21101,1
mcp,search_query,single_step,1,1,pass,10,35,860,67998,10286,0.071977,34235,3
axi,error_bad_project,error_recovery,1,1,partial,5,33,720,71910,9550,0.068284,33462,3
mcp,project_detail,single_step,1,1,pass,9,27,271,47113,6999,0.044526,19273,2
